stream,bytes,megabytes,tuple
429,11196,0.011,"(429, 11196)"
430,13528,0.013,"(430, 13528)"
431,12342,0.012,"(431, 12342)"
432,16198,0.015,"(432, 16198)"
433,15585,0.015,"(433, 15585)"
434,24341,0.023,"(434, 24341)"
435,11936,0.011,"(435, 11936)"
436,12196,0.012,"(436, 12196)"
437,29472,0.028,"(437, 29472)"
438,15748,0.015,"(438, 15748)"
439,15419,0.015,"(439, 15419)"
440,12020,0.011,"(440, 12020)"
441,11102,0.011,"(441, 11102)"
442,11115,0.011,"(442, 11115)"
443,17876,0.017,"(443, 17876)"
444,19718,0.019,"(444, 19718)"
445,8080,0.008,"(445, 8080)"
446,10801,0.01,"(446, 10801)"
447,18646,0.018,"(447, 18646)"
448,19106,0.018,"(448, 19106)"
449,8915,0.009,"(449, 8915)"
450,6709,0.006,"(450, 6709)"
451,8913,0.009,"(451, 8913)"
452,14483,0.014,"(452, 14483)"
453,15035,0.014,"(453, 15035)"
454,8872,0.008,"(454, 8872)"
455,24809,0.024,"(455, 24809)"
456,8044,0.008,"(456, 8044)"
457,5978,0.006,"(457, 5978)"
458,9083,0.009,"(458, 9083)"
459,18767,0.018,"(459, 18767)"
460,11287,0.011,"(460, 11287)"
461,891,0.001,"(461, 891)"
462,17138,0.016,"(462, 17138)"
463,8588,0.008,"(463, 8588)"
464,8658,0.008,"(464, 8658)"
465,11287,0.011,"(465, 11287)"
466,8939,0.009,"(466, 8939)"
467,61790,0.059,"(467, 61790)"
468,16411474,15.651,"(468, 16411474)"
469,6479,0.006,"(469, 6479)"
470,10446,0.01,"(470, 10446)"
471,6155,0.006,"(471, 6155)"
472,6118,0.006,"(472, 6118)"
473,6342,0.006,"(473, 6342)"
474,6413,0.006,"(474, 6413)"
475,6752,0.006,"(475, 6752)"
476,800763,0.764,"(476, 800763)"
477,4721,0.005,"(477, 4721)"
478,12618,0.012,"(478, 12618)"
479,5544,0.005,"(479, 5544)"
480,16077,0.015,"(480, 16077)"
481,11289,0.011,"(481, 11289)"
482,13598,0.013,"(482, 13598)"
